address,bedrooms,area,price
"Avenida Comandante Júlio de Moura - Barra da Tijuca, Rio de Janeiro - RJ",3,138,1450000
"Barra da Tijuca, Rio de Janeiro - RJ",2,130,1600000
"Avenida Vice-Presidente José Alencar, 1500 - Barra da Tijuca, Rio de Janeiro - RJ",2,78,543500
"Avenida Lúcio Costa, 3602 - Barra da Tijuca, Rio de Janeiro - RJ",4,180,3300000
"Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ",3,117,2200000
"Avenida Rosauro Estellita, 155 - Barra da Tijuca, Rio de Janeiro - RJ",4,185,2249000
"Avenida Flamboyants da Península - Barra da Tijuca, Rio de Janeiro - RJ",2,75,795000
"Rua César Lattes, 480 - Barra da Tijuca, Rio de Janeiro - RJ",4,170,2500000
"Rua Franco Zampari, 111 - Barra da Tijuca, Rio de Janeiro - RJ",2,78,412061
"Avenida Salvador Allende, 5400 - Barra da Tijuca, Rio de Janeiro - RJ",2,70,550000
"Rua Aroazes, 350 - Barra da Tijuca, Rio de Janeiro - RJ",3,77,548000
"Rua Mário Agostinelli, 155 - Barra da Tijuca, Rio de Janeiro - RJ",3,180,1110000
"Rua César Lattes, 0 - Barra da Tijuca, Rio de Janeiro - RJ",2,68,650000
"Avenida Embaixador Abelardo Bueno, 111 - Barra da Tijuca, Rio de Janeiro - RJ",2,75,430000
"Avenida Flamboyants da Península, 155 - Barra da Tijuca, Rio de Janeiro - RJ",4,250,2750000
"Avenida João Cabral de Mello Neto, 60 - Barra da Tijuca, Rio de Janeiro - RJ",2,100,950000
"Avenida Marechal Henrique Lott - Barra da Tijuca, Rio de Janeiro - RJ",2,92,760000
"Avenida das Américas, 3200 - Barra da Tijuca, Rio de Janeiro - RJ",4,160,1290000
"Avenida Rosauro Estellita, 155 - Barra da Tijuca, Rio de Janeiro - RJ",3,121,1450300
"Avenida Prefeito Dulcídio Cardoso, 1000 - Barra da Tijuca, Rio de Janeiro - RJ",2,89,975000
"Barra da Tijuca, Rio de Janeiro - RJ",2,68,430000
"Rua Coronel Paulo Malta Rezende, 35 - Barra da Tijuca, Rio de Janeiro - RJ",2,65,649900
"Rua Carlos Oswald, 140 - Barra da Tijuca, Rio de Janeiro - RJ",4,121,1050000
"Avenida Jornalista Tim Lopes, 255 - Barra da Tijuca, Rio de Janeiro - RJ",3,126,1440000
"Estrada Coronel Pedro Corrêa, 130 - Barra da Tijuca, Rio de Janeiro - RJ",2,35,243000
"Avenida Marechal Henrique Lott, 70 - Barra da Tijuca, Rio de Janeiro - RJ",1,69,650000
"Avenida Lúcio Costa, 9600 - Barra da Tijuca, Rio de Janeiro - RJ",1,168,5880000
"Rua César Lattes, 700 - Barra da Tijuca, Rio de Janeiro - RJ",2,70,589900
"Avenida Prefeito Dulcídio Cardoso - Barra da Tijuca, Rio de Janeiro - RJ",2,113,740000
"Avenida Jornalista Tim Lopes, 255 - Barra da Tijuca, Rio de Janeiro - RJ",2,248,2500000
"Barra da Tijuca, Rio de Janeiro - RJ",4,200,2600000
"Avenida Lúcio Costa, 5200 - Barra da Tijuca, Rio de Janeiro - RJ",3,150,3100000
"Avenida Monsenhor Ascaneo - Barra da Tijuca, Rio de Janeiro - RJ",4,602,4600000
"Rua Alfredo Lopes de Souza, 30 - Barra da Tijuca, Rio de Janeiro - RJ",3,162,893950
"Rua Mário Covas Júnior, 135 - Barra da Tijuca, Rio de Janeiro - RJ",2,78,799000
"Avenida Lúcio Costa, 17290 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",3,138,1940000
"Rua César Lattes - Barra da Tijuca, Rio de Janeiro - RJ",3,116,1250000
"Avenida Prefeito Dulcídio Cardoso, 2500 - Barra da Tijuca, Rio de Janeiro - RJ",4,200,2300000
"Avenida Lúcio Costa, 6600 - Barra da Tijuca, Rio de Janeiro - RJ",3,110,1250000
"Avenida Flamboyants da Península, 155 - Barra da Tijuca, Rio de Janeiro - RJ",4,517,5495000
"Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ",3,130,2390000
"Rua Jornalista Henrique Cordeiro, 310 - Barra da Tijuca, Rio de Janeiro - RJ",2,83,745000
"Rua Jornalista Henrique Cordeiro, 350 - Barra da Tijuca, Rio de Janeiro - RJ",3,100,1330000
"Avenida Prefeito Dulcídio Cardoso, 1000 - Barra da Tijuca, Rio de Janeiro - RJ",4,130,1560000
"Avenida Embaixador Abelardo Bueno, 2510 - Barra da Tijuca, Rio de Janeiro - RJ",3,85,750000
"Avenida Malibu, 45 - Barra da Tijuca, Rio de Janeiro - RJ",4,250,2800000
"Avenida Peregrino Júnior, 180 - Barra da Tijuca, Rio de Janeiro - RJ",2,90,1080000
"Avenida Flamboyants da Península - Barra da Tijuca, Rio de Janeiro - RJ",4,600,15000000
"Avenida Lúcio Costa, 3360 - Barra da Tijuca, Rio de Janeiro - RJ",4,150,2400000
"Rua Franco Zampari, 111 - Barra da Tijuca, Rio de Janeiro - RJ",3,93,830000
"Rua Amilcar de Castro - Barra da Tijuca, Rio de Janeiro - RJ",4,138,1149993
"Avenida Lúcio Costa, 6250 - Barra da Tijuca, Rio de Janeiro - RJ",2,80,889999
"Avenida Embaixador Abelardo Bueno, 111 - Barra da Tijuca, Rio de Janeiro - RJ",4,149,899000
"Rua Alfredo Lopes de Souza, 30 - Barra da Tijuca, Rio de Janeiro - RJ",2,139,697300
"Rua César Lattes, 1000 - Barra da Tijuca, Rio de Janeiro - RJ",3,116,1320000
"Avenida Lúcio Costa, 4000 - Barra da Tijuca, Rio de Janeiro - RJ",3,149,2549000
"Avenida Flamboyants da Península - Barra da Tijuca, Rio de Janeiro - RJ",3,140,1580000
"Rua Alfredo Ceschiatti, 155 - Barra da Tijuca, Rio de Janeiro - RJ",2,92,599299
"Rua Jornalista Henrique Cordeiro, 350 - Barra da Tijuca, Rio de Janeiro - RJ",3,100,1290000
"Avenida Marechal Henrique Lott, 70 - Barra da Tijuca, Rio de Janeiro - RJ",3,143,1300000
"Rua Jornalista Henrique Cordeiro - Barra da Tijuca, Rio de Janeiro - RJ",3,112,999000
"Rua Escritor Rodrigo Melo Franco, 400 - Barra da Tijuca, Rio de Janeiro - RJ",2,85,750000
"Rua General Sidônio Dias Correia, 463 - Barra da Tijuca, Rio de Janeiro - RJ",3,165,1690000
"Avenida das Américas, 10001 - Barra da Tijuca, Rio de Janeiro - RJ",4,266,3780000
"Avenida Alda Garrido - Barra da Tijuca, Rio de Janeiro - RJ",3,150,1499500
"Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ",3,269,3800000
"Avenida das Acácias da Península, 900 - Barra da Tijuca, Rio de Janeiro - RJ",3,109,1139000
"Rua Franco Zampari - Barra da Tijuca, Rio de Janeiro - RJ",3,93,492900
"Rua Escritor Rodrigo Melo Franco, 160 - Barra da Tijuca, Rio de Janeiro - RJ",4,160,1299000
"Rua Jornalista Henrique Cordeiro - Barra da Tijuca, Rio de Janeiro - RJ",2,86,819000
"Rua Carlos Oswald, 230 - Barra da Tijuca, Rio de Janeiro - RJ",4,310,1680000
"Rua Carlos Oswald, 230 - Barra da Tijuca, Rio de Janeiro - RJ",4,160,1495000
"Avenida Vice-Presidente José Alencar, 1500 - Barra da Tijuca, Rio de Janeiro - RJ",4,150,1160000
"Barra da Tijuca, Rio de Janeiro - RJ",3,131,1190000
"Avenida Embaixador Abelardo Bueno - Barra da Tijuca, Rio de Janeiro - RJ",3,90,540000
"Rua Ataulpho Coutinho, 200 - Barra da Tijuca, Rio de Janeiro - RJ",4,122,1280000
"Rua Oscar Valdetaro, 176 - Barra da Tijuca, Rio de Janeiro - RJ",3,111,1350000
"Avenida Vice-Presidente José Alencar, 1500 - Barra da Tijuca, Rio de Janeiro - RJ",2,78,545000
"Avenida Vice-Presidente José Alencar, 1455 - Barra da Tijuca, Rio de Janeiro - RJ",4,143,1299550
"Avenida Prefeito Dulcídio Cardoso - Barra da Tijuca, Rio de Janeiro - RJ",4,130,1440000
"Avenida Salvador Allende, 3200 - Barra da Tijuca, Rio de Janeiro - RJ",4,160,1467000
"Avenida Prefeito Dulcídio Cardoso - Barra da Tijuca, Rio de Janeiro - RJ",2,63,710000
"Avenida das Américas, 100001 - Barra da Tijuca, Rio de Janeiro - RJ",4,266,3500000
"Barra da Tijuca, Rio de Janeiro - RJ",3,168,1800000
"Barra da Tijuca, Rio de Janeiro - RJ",4,101,615000
"Avenida Lúcio Costa, 2900 - Barra da Tijuca, Rio de Janeiro - RJ",1,62,800000
"Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ",2,70,1050000
"Rua Escritor Rodrigo Melo Franco - Barra da Tijuca, Rio de Janeiro - RJ",2,85,800000
"Rua Ipanema - Barra da Tijuca, Rio de Janeiro - RJ",4,161,1450000
"Avenida Rodolfo Amoedo - Barra da Tijuca, Rio de Janeiro - RJ",3,120,1360000
"Avenida Hildebrando de Araújo Góes, 55 - Barra da Tijuca, Rio de Janeiro - RJ",4,141,1350000
"Avenida Jaime Poggi, 99 - Barra da Tijuca, Rio de Janeiro - RJ",3,76,505000
"Avenida Lúcio Costa, 4000 - Barra da Tijuca, Rio de Janeiro - RJ",4,230,8000000
"Rua Alfredo Ceschiatti, 100 - Barra da Tijuca, Rio de Janeiro - RJ",3,94,699000
"Avenida Prefeito Dulcídio Cardoso - Barra da Tijuca, Rio de Janeiro - RJ",2,87,880000
"Rua Bauhíneas da Península - Barra da Tijuca, Rio de Janeiro - RJ",2,66,680000
"Avenida das Américas, 10001 - Barra da Tijuca, Rio de Janeiro - RJ",4,266,3729105
"Rua Jornalista Henrique Cordeiro, 310 - Barra da Tijuca, Rio de Janeiro - RJ",2,83,865000
"Avenida Salvador Allende, 6031 - Barra da Tijuca, Rio de Janeiro - RJ",2,66,511270
"Avenida Embaixador Abelardo Bueno, 111 - Barra da Tijuca, Rio de Janeiro - RJ",3,93,518000
"Barra da Tijuca, Rio de Janeiro - RJ",2,95,1250000
"Avenida Embaixador Abelardo Bueno, 2510 - Barra da Tijuca, Rio de Janeiro - RJ",2,67,545000
"Avenida Jaime Poggi, 99 - Barra da Tijuca, Rio de Janeiro - RJ",2,65,450000
"Rua César Lattes, 1000 - Barra da Tijuca, Rio de Janeiro - RJ",2,70,685000
"Rua César Lattes - Barra da Tijuca, Rio de Janeiro - RJ",4,217,2399000
"Barra da Tijuca, Rio de Janeiro - RJ",3,220,2200000
"Avenida Abraham Medina - Barra da Tijuca, Rio de Janeiro - RJ",2,80,665000
"Rua General Renato Paquet, 199 - Barra da Tijuca, Rio de Janeiro - RJ",4,121,1260000
"Rua Marlo da Costa e Souza, 0 - Barra da Tijuca, Rio de Janeiro - RJ",3,92,598000
"Avenida Lúcio Costa, 4000 - Barra da Tijuca, Rio de Janeiro - RJ",3,215,3695000
"Avenida Pepe - Barra da Tijuca, Rio de Janeiro - RJ",3,90,1295000
"Rua Franco Zampari, 111 - Barra da Tijuca, Rio de Janeiro - RJ",2,78,412000
"Avenida Flamboyants da Península - Barra da Tijuca, Rio de Janeiro - RJ",3,110,1190000
"Avenida Lúcio Costa, 3604 - Barra da Tijuca, Rio de Janeiro - RJ",4,169,1890000
"Rua São Miguel, 181 - Tijuca, Rio de Janeiro - RJ",3,78,550000
"Avenida Lúcio Costa, 3600 - Barra da Tijuca, Rio de Janeiro - RJ",4,297,2900000
"Avenida das Acácias da Península, 540 - Barra da Tijuca, Rio de Janeiro - RJ",3,230,2650000
"Avenida Lúcio Costa, 3600 - Barra da Tijuca, Rio de Janeiro - RJ",4,290,2600000
"Avenida Afonso Arinos de Melo Franco, 397 - Barra da Tijuca, Rio de Janeiro - RJ",2,87,925000
"Rua Jacarandás da Península, 880 - Barra da Tijuca, Rio de Janeiro - RJ",4,161,2250000
"Rua Franco Zampari, 111 - Barra da Tijuca, Rio de Janeiro - RJ",2,78,410000
"Avenida Professor Fausto Moreira, 150 - Barra da Tijuca, Rio de Janeiro - RJ",2,62,425000
"Avenida das Américas, 7897 - Barra da Tijuca, Rio de Janeiro - RJ",2,74,730000
"Avenida Monsenhor Ascaneo, 535 - Barra da Tijuca, Rio de Janeiro - RJ",2,118,1822000
"Barra da Tijuca, Rio de Janeiro - RJ",4,227,1923000
"Avenida Cláudio Besserman Vianna, 3 - Barra da Tijuca, Rio de Janeiro - RJ",2,77,430000
"Avenida Prefeito Dulcídio Cardoso - Barra da Tijuca, Rio de Janeiro - RJ",1,68,640000
"Barra da Tijuca, Rio de Janeiro - RJ",4,405,4250000
"Avenida Grande Canal, 271 - Barra da Tijuca, Rio de Janeiro - RJ",2,87,690000
"Avenida Embaixador Abelardo Bueno, 3100 - Barra da Tijuca, Rio de Janeiro - RJ",3,119,700000
"Avenida Vice-Presidente José Alencar, 1500 - Barra da Tijuca, Rio de Janeiro - RJ",3,110,949950
"Rua Alfredo Ceschiatti, 150 - Barra da Tijuca, Rio de Janeiro - RJ",3,98,561300
"Avenida das Acácias da Península, 150 - Barra da Tijuca, Rio de Janeiro - RJ",3,135,1350000
"Rua General Renato Paquet - Barra da Tijuca, Rio de Janeiro - RJ",4,127,1050000
"Rua Jornalista Henrique Cordeiro, 30 - Barra da Tijuca, Rio de Janeiro - RJ",3,85,850000
"Avenida Rosauro Estellita, 155 - Barra da Tijuca, Rio de Janeiro - RJ",3,125,1565000
"Avenida João Cabral de Mello Neto, 60 - Barra da Tijuca, Rio de Janeiro - RJ",3,135,1450000
"Avenida das Acácias da Península - Barra da Tijuca, Rio de Janeiro - RJ",4,180,2100000
"Avenida Flamboyants da Península, 1180 - Barra da Tijuca, Rio de Janeiro - RJ",4,239,2390000
"Barra da Tijuca, Rio de Janeiro - RJ",4,156,1600000
"Avenida Gilberto Amado, 270 - Barra da Tijuca, Rio de Janeiro - RJ",4,290,2000000
"Avenida das Américas - Barra da Tijuca, Rio de Janeiro - RJ",1,70,539000
"Avenida Embaixador Abelardo Bueno, 3600 - Barra da Tijuca, Rio de Janeiro - RJ",3,90,541500
"Rua Alceu Amoroso Lima, 65 - Barra da Tijuca, Rio de Janeiro - RJ",1,63,675000
"Avenida Flamboyants da Península - Barra da Tijuca, Rio de Janeiro - RJ",5,430,4900000
"Avenida Flamboyants da Península - Barra da Tijuca, Rio de Janeiro - RJ",3,90,1210000
"Avenida Flamboyants da Península, 115 - Barra da Tijuca, Rio de Janeiro - RJ",4,315,3790000
"Rua Jacarandás da Península, 1015 - Barra da Tijuca, Rio de Janeiro - RJ",4,144,1732000
"Barra da Tijuca, Rio de Janeiro - RJ",3,116,1290000
"Avenida das Américas, 100001 - Barra da Tijuca, Rio de Janeiro - RJ",5,648,8500000
"Rua Paulo Moura, 385 - Barra da Tijuca, Rio de Janeiro - RJ",2,86,950000
"Avenida Flamboyants da Península - Barra da Tijuca, Rio de Janeiro - RJ",4,140,1800000
"Avenida Lúcio Costa, 3600 - Barra da Tijuca, Rio de Janeiro - RJ",5,390,7900000
"Avenida Cláudio Besserman Vianna - Barra da Tijuca, Rio de Janeiro - RJ",4,150,749000
"Rua Coronel Paulo Malta Rezende, 35 - Barra da Tijuca, Rio de Janeiro - RJ",2,65,540000
"Avenida Flamboyants da Península - Barra da Tijuca, Rio de Janeiro - RJ",4,240,2390000
"Avenida Marechal Henrique Lott - Barra da Tijuca, Rio de Janeiro - RJ",3,250,2300000
"Avenida Flamboyants da Península - Barra da Tijuca, Rio de Janeiro - RJ",4,240,2500000
"Avenida João Cabral de Mello Neto, 350 - Barra da Tijuca, Rio de Janeiro - RJ",4,420,3900000
"Avenida Prefeito Dulcídio Cardoso, 1200 - Barra da Tijuca, Rio de Janeiro - RJ",2,67,695000
"Rua Oscar Valdetaro - Barra da Tijuca, Rio de Janeiro - RJ",3,115,1390000
"Barra da Tijuca, Rio de Janeiro - RJ",2,80,620000
"Rua Zoila de Abreu Teixeira, 0 - Barra da Tijuca, Rio de Janeiro - RJ",3,100,1200000
"Rua Coronel Paulo Malta Rezende - Barra da Tijuca, Rio de Janeiro - RJ",2,65,550000
"Rua César Lattes, 1000 - Barra da Tijuca, Rio de Janeiro - RJ",3,116,1300000
"Rua Aroazes - Barra da Tijuca, Rio de Janeiro - RJ",2,69,400000
"Avenida Flamboyants da Península, 100 - Barra da Tijuca, Rio de Janeiro - RJ",2,75,900000
"Avenida Lúcio Costa, 2930 - Barra da Tijuca, Rio de Janeiro - RJ",4,160,3100000
"Rua Coronel Aviador Antônio Arthur Braga - Barra da Tijuca, Rio de Janeiro - RJ",4,356,2250000
"Rua Aroazes, 360 - Barra da Tijuca, Rio de Janeiro - RJ",3,73,550000
"Rua Alfredo Ceschiatti, 105 - Barra da Tijuca, Rio de Janeiro - RJ",3,92,595000
"Rua Mário Covas Júnior, 135 - Barra da Tijuca, Rio de Janeiro - RJ",2,76,745000
"Rua Jornalista Henrique Cordeiro - Barra da Tijuca, Rio de Janeiro - RJ",2,70,770000
"Avenida Lúcio Costa, 3300 - Barra da Tijuca, Rio de Janeiro - RJ",2,72,995000
"Rua Jornalista Henrique Cordeiro, 400 - Barra da Tijuca, Rio de Janeiro - RJ",4,142,1370000
"Avenida Peregrino Júnior - Barra da Tijuca, Rio de Janeiro - RJ",4,240,3599000
"Avenida Vice-Presidente José Alencar, 1455 - Barra da Tijuca, Rio de Janeiro - RJ",2,78,684900
"Avenida Cláudio Besserman Vianna, 3 - Barra da Tijuca, Rio de Janeiro - RJ",2,77,300000
"Rua César Lattes, 1000 - Barra da Tijuca, Rio de Janeiro - RJ",3,81,849000
"Estrada Coronel Pedro Corrêa, 130 - Barra da Tijuca, Rio de Janeiro - RJ",2,55,370000
"Avenida Di Cavalcanti - Barra da Tijuca, Rio de Janeiro - RJ",3,78,690000
"Rua Franz Weissman, 300 - Barra da Tijuca, Rio de Janeiro - RJ",2,65,520000
"Avenida Embaixador Abelardo Bueno, 111 - Barra da Tijuca, Rio de Janeiro - RJ",3,93,550000
"Rua Engenheiro Carlos Euler, 77 - Barra da Tijuca, Rio de Janeiro - RJ",4,115,850000
"Avenida das Américas - Barra da Tijuca, Rio de Janeiro - RJ",4,333,4199000
